epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40105,2.83898,4.25216,2.4704,0.00476,0.54102,0.00505,0.00145,2.40344,3.88899,2.29477,0.0829,0.0019,0.0019
2,8.22479,2.27416,3.49815,1.99745,0.0066,0.75,0.01952,0.00727,2.08343,3.55068,1.73908,0.0648923,0.00389228,0.00389228
3,12.0391,2.24448,2.83153,2.00475,0.00766,0.87109,0.13702,0.04118,2.32284,3.35023,1.73335,0.0468766,0.00587664,0.00587664
4,15.8537,2.20823,2.63258,1.99885,0.26805,0.18164,0.12118,0.03549,2.48008,2.93738,2.66137,0.0288531,0.00785307,0.00785307
5,19.8123,2.23765,2.5329,1.98284,0.01749,0.30469,0.01138,0.00345,2.56948,34.2011,3.4664,0.0108216,0.00982159,0.00982159
6,23.725,2.28435,2.50171,1.99203,0.0951,0.15625,0.05605,0.01423,2.65652,31.6664,3.4079,0.009901,0.009901,0.009901
7,27.6171,2.26361,2.41716,1.98848,0.04106,0.29883,0.03468,0.00869,2.84654,50.5645,3.4305,0.0098812,0.0098812,0.0098812
8,31.4212,2.26829,2.31082,1.91772,0.01654,0.05273,0.00502,0.00116,3.56599,20.1104,4.37641,0.0098614,0.0098614,0.0098614
9,35.2729,2.26679,2.34429,1.99279,0.07968,0.24414,0.04777,0.01391,2.6432,36.8698,2.68485,0.0098416,0.0098416,0.0098416
10,39.1299,2.20163,2.28638,1.93027,0.19081,0.23047,0.1165,0.0369,2.55015,10.568,2.40549,0.0098218,0.0098218,0.0098218
11,43.0096,2.20352,2.22608,1.97181,0.09557,0.14062,0.05102,0.01585,2.4998,24.6508,2.5846,0.009802,0.009802,0.009802
12,46.9185,2.18172,2.23131,1.94913,0.03266,0.20312,0.03045,0.00788,2.5463,24.9811,2.61778,0.0097822,0.0097822,0.0097822
13,50.7778,2.20177,2.24848,1.97344,0.07186,0.18359,0.03922,0.0115,2.5281,5.68797,2.33945,0.0097624,0.0097624,0.0097624
14,54.6439,2.20671,2.1534,1.94306,0.32516,0.38086,0.29754,0.10256,2.11905,2.17472,1.84675,0.0097426,0.0097426,0.0097426
15,58.5036,2.19868,2.15056,1.91935,0.2757,0.25977,0.1923,0.05589,2.61893,3.73988,2.23432,0.0097228,0.0097228,0.0097228
16,62.3636,2.14792,2.10996,1.87121,0.30057,0.43164,0.29045,0.09309,2.16774,5.7088,1.95881,0.009703,0.009703,0.009703
17,66.1952,2.13251,2.11791,1.87833,0.34831,0.37894,0.31517,0.10579,2.27304,2.26006,2.00045,0.0096832,0.0096832,0.0096832
18,70.0421,2.15987,2.15235,1.91788,0.11492,0.17383,0.06532,0.02006,2.37103,3.81626,2.35995,0.0096634,0.0096634,0.0096634
19,73.8834,2.14547,2.13411,1.92585,0.31627,0.31055,0.23733,0.07937,2.092,2.74226,1.94951,0.0096436,0.0096436,0.0096436
20,77.7082,2.14328,2.0858,1.88056,0.36375,0.37109,0.31316,0.11088,2.07072,2.65118,1.70151,0.0096238,0.0096238,0.0096238
21,81.5518,2.12061,2.03238,1.88734,0.4206,0.47639,0.38741,0.13959,2.09314,2.07675,1.92432,0.009604,0.009604,0.009604
22,85.415,2.12026,2.07188,1.89518,0.30645,0.25977,0.17546,0.05662,2.59995,2.48316,2.43537,0.0095842,0.0095842,0.0095842
23,89.1493,2.14173,2.03643,1.87675,0.16992,0.05078,0.03874,0.01565,2.96408,4.62737,2.62488,0.0095644,0.0095644,0.0095644
24,92.9706,2.11935,2.0219,1.89527,0.45916,0.45508,0.42925,0.16153,2.03133,2.14931,1.82981,0.0095446,0.0095446,0.0095446
25,96.8063,2.12951,2.02601,1.88198,0.13407,0.125,0.07754,0.02039,2.70361,2.67341,2.67285,0.0095248,0.0095248,0.0095248
26,100.65,2.10771,1.99534,1.87084,0.22816,0.33008,0.20095,0.05954,2.34325,2.21414,2.11341,0.009505,0.009505,0.009505
27,104.507,2.07811,1.97502,1.85128,0.42896,0.49023,0.40742,0.16032,1.98625,2.02199,1.71017,0.0094852,0.0094852,0.0094852
28,108.343,2.10702,2.01635,1.86334,0.34119,0.39752,0.31717,0.09667,2.33947,1.95172,1.83808,0.0094654,0.0094654,0.0094654
29,112.185,2.07993,2.02609,1.84779,0.44224,0.37109,0.37465,0.15028,2.06556,1.95732,1.73839,0.0094456,0.0094456,0.0094456
30,116.019,2.0943,1.96406,1.86152,0.55425,0.48438,0.48424,0.16926,2.04621,1.76501,1.77107,0.0094258,0.0094258,0.0094258
31,119.821,2.08871,1.93738,1.84015,0.47646,0.48525,0.46643,0.1672,2.01037,1.78376,1.71522,0.009406,0.009406,0.009406
32,123.619,2.10333,1.96853,1.85607,0.30187,0.29688,0.21164,0.0581,2.49294,2.3362,2.23854,0.0093862,0.0093862,0.0093862
33,127.412,2.06196,1.92674,1.84209,0.42584,0.50195,0.43385,0.16714,1.99952,1.78156,1.7436,0.0093664,0.0093664,0.0093664
34,131.206,2.07048,1.91163,1.84186,0.48525,0.50586,0.4832,0.19114,1.87094,1.578,1.65227,0.0093466,0.0093466,0.0093466
35,134.998,2.06501,1.91608,1.83578,0.36973,0.30469,0.29096,0.10402,2.12901,2.08846,1.83872,0.0093268,0.0093268,0.0093268
36,138.803,2.04657,1.91572,1.81851,0.26104,0.29688,0.17979,0.05499,2.49218,2.93401,2.02822,0.009307,0.009307,0.009307
37,142.615,2.04712,1.8587,1.84591,0.48582,0.37305,0.36534,0.12292,2.29266,1.91253,1.88088,0.0092872,0.0092872,0.0092872
38,146.437,2.05764,1.89837,1.85172,0.57183,0.53711,0.53715,0.21855,1.98874,1.62428,1.79142,0.0092674,0.0092674,0.0092674
39,150.298,2.05783,1.88371,1.82959,0.54011,0.55664,0.553,0.20956,1.87384,1.96148,1.66206,0.0092476,0.0092476,0.0092476
40,154.119,2.00439,1.87594,1.80223,0.47808,0.42969,0.40935,0.17155,1.96919,1.65894,1.79302,0.0092278,0.0092278,0.0092278
41,157.937,2.01766,1.89234,1.81911,0.49969,0.47012,0.46949,0.18324,1.95524,1.59905,1.75473,0.009208,0.009208,0.009208
42,161.756,2.00552,1.82903,1.79657,0.55441,0.55893,0.5592,0.23605,1.80281,1.48926,1.70184,0.0091882,0.0091882,0.0091882
43,165.599,2.01714,1.83165,1.77246,0.43649,0.47852,0.43204,0.18108,2.03885,1.68009,1.81677,0.0091684,0.0091684,0.0091684
44,169.431,2.01579,1.80418,1.78808,0.50794,0.54297,0.52938,0.21248,1.98318,1.58182,1.6609,0.0091486,0.0091486,0.0091486
45,173.267,2.01997,1.81893,1.78925,0.52561,0.49805,0.52157,0.20849,1.7774,1.64296,1.64167,0.0091288,0.0091288,0.0091288
46,177.094,1.98235,1.82879,1.79802,0.52473,0.52832,0.54341,0.21048,1.88947,1.53171,1.67511,0.009109,0.009109,0.009109
47,180.944,2.0035,1.79435,1.78654,0.38057,0.40625,0.3361,0.09941,2.25163,2.68997,1.9136,0.0090892,0.0090892,0.0090892
48,184.767,1.9811,1.80683,1.80034,0.55545,0.57031,0.58037,0.26965,1.75259,1.32449,1.63141,0.0090694,0.0090694,0.0090694
49,188.659,1.9879,1.79991,1.78946,0.51797,0.4668,0.47719,0.20214,1.91538,1.58118,1.72309,0.0090496,0.0090496,0.0090496
50,192.491,2.00535,1.77186,1.77277,0.57047,0.5332,0.55619,0.22894,1.82028,1.41409,1.65328,0.0090298,0.0090298,0.0090298
51,196.36,1.98145,1.76635,1.74027,0.56262,0.48828,0.51174,0.225,1.82696,1.47535,1.62826,0.00901,0.00901,0.00901
52,200.207,1.97316,1.74568,1.7553,0.46223,0.46094,0.43971,0.1817,2.0323,1.64557,1.83147,0.0089902,0.0089902,0.0089902
53,204.024,1.98384,1.71458,1.76789,0.5701,0.575,0.58569,0.26075,1.89959,1.40625,1.70408,0.0089704,0.0089704,0.0089704
54,207.862,1.98056,1.75425,1.7578,0.52873,0.44531,0.47109,0.19329,1.89505,1.53225,1.72548,0.0089506,0.0089506,0.0089506
55,211.678,1.935,1.71195,1.73264,0.50841,0.53125,0.4873,0.18005,2.09468,1.72351,1.77625,0.0089308,0.0089308,0.0089308
56,215.49,1.95726,1.77062,1.75959,0.61417,0.58203,0.61673,0.28385,1.81531,1.33948,1.63237,0.008911,0.008911,0.008911
57,219.323,1.9407,1.69595,1.72218,0.60058,0.55469,0.61054,0.28177,1.76955,1.28145,1.57742,0.0088912,0.0088912,0.0088912
58,223.149,1.94229,1.72294,1.73241,0.55408,0.52148,0.54835,0.2417,1.72815,1.33217,1.62053,0.0088714,0.0088714,0.0088714
59,226.98,1.97948,1.71283,1.7618,0.58481,0.57812,0.59171,0.25212,1.81668,1.45522,1.70758,0.0088516,0.0088516,0.0088516
60,230.783,1.93651,1.72573,1.73418,0.43375,0.32031,0.29407,0.1107,2.42015,2.30408,2.17515,0.0088318,0.0088318,0.0088318
61,234.602,1.93538,1.72342,1.7537,0.4691,0.47656,0.45643,0.16661,2.13345,1.9257,1.79146,0.008812,0.008812,0.008812
62,238.418,1.93354,1.67746,1.7351,0.5768,0.58299,0.59085,0.27068,1.83151,1.37672,1.64359,0.0087922,0.0087922,0.0087922
63,242.226,1.92289,1.67746,1.7196,0.38206,0.4082,0.35184,0.11968,2.17226,1.83641,1.86511,0.0087724,0.0087724,0.0087724
64,246.007,1.90559,1.67413,1.70511,0.68415,0.57537,0.63049,0.29105,1.76986,1.26156,1.61785,0.0087526,0.0087526,0.0087526
65,249.835,1.91523,1.70905,1.7241,0.55262,0.51562,0.53855,0.23521,1.98023,1.50896,1.78153,0.0087328,0.0087328,0.0087328
66,253.641,1.89578,1.62534,1.70325,0.35393,0.36914,0.28582,0.08442,2.37271,2.79351,1.90268,0.008713,0.008713,0.008713
67,257.458,1.91092,1.64338,1.68511,0.46152,0.46289,0.3981,0.12994,2.26673,2.63394,1.94966,0.0086932,0.0086932,0.0086932
68,261.251,1.88815,1.6442,1.67901,0.56683,0.48438,0.51927,0.22009,1.80674,1.48498,1.72413,0.0086734,0.0086734,0.0086734
69,265.045,1.87098,1.63144,1.69941,0.52971,0.49805,0.52439,0.24029,1.81544,1.51736,1.66971,0.0086536,0.0086536,0.0086536
70,268.874,1.88543,1.65666,1.71035,0.56966,0.49805,0.52543,0.20254,2.02394,1.53675,1.765,0.0086338,0.0086338,0.0086338
71,272.691,1.8764,1.61159,1.67408,0.57004,0.61523,0.63319,0.30487,1.71891,1.25508,1.6042,0.008614,0.008614,0.008614
72,276.482,1.8685,1.59257,1.66985,0.63435,0.52519,0.59084,0.25202,1.90761,1.6146,1.67846,0.0085942,0.0085942,0.0085942
73,280.282,1.91537,1.59756,1.71744,0.63355,0.46875,0.50678,0.19374,2.07739,1.91622,1.76906,0.0085744,0.0085744,0.0085744
74,284.087,1.8852,1.57761,1.67824,0.54738,0.57617,0.55014,0.22609,2.08547,1.78667,1.81023,0.0085546,0.0085546,0.0085546
75,287.894,1.89357,1.5784,1.69077,0.62631,0.64062,0.63921,0.28488,1.77734,1.49098,1.56562,0.0085348,0.0085348,0.0085348
76,291.71,1.86529,1.60117,1.67731,0.68717,0.65213,0.70325,0.34506,1.64066,1.15991,1.51739,0.008515,0.008515,0.008515
77,295.536,1.87894,1.59379,1.68096,0.71936,0.67773,0.75095,0.35895,1.71454,1.18565,1.57185,0.0084952,0.0084952,0.0084952
78,299.365,1.84997,1.52919,1.66769,0.74694,0.64258,0.7372,0.36018,1.6737,1.19038,1.55152,0.0084754,0.0084754,0.0084754
79,303.158,1.8351,1.56725,1.6548,0.68819,0.5625,0.65496,0.30203,1.91682,1.34249,1.68098,0.0084556,0.0084556,0.0084556
80,306.944,1.84872,1.50896,1.64046,0.68632,0.63281,0.69587,0.32617,1.79534,1.22175,1.61924,0.0084358,0.0084358,0.0084358
81,310.743,1.8232,1.55126,1.64545,0.64109,0.60355,0.64378,0.29724,1.88229,1.2483,1.69854,0.008416,0.008416,0.008416
82,314.55,1.86105,1.52103,1.66434,0.67759,0.56055,0.63072,0.29158,1.67658,1.34388,1.609,0.0083962,0.0083962,0.0083962
83,318.339,1.82972,1.53639,1.63912,0.68408,0.60902,0.6962,0.34139,1.70968,1.18583,1.53164,0.0083764,0.0083764,0.0083764
84,322.12,1.81827,1.5047,1.62633,0.72782,0.56055,0.66275,0.28703,1.91735,1.20405,1.61626,0.0083566,0.0083566,0.0083566
85,325.902,1.78826,1.48998,1.6224,0.63612,0.54492,0.62124,0.25455,2.12852,1.35008,1.84576,0.0083368,0.0083368,0.0083368
86,329.694,1.82404,1.48834,1.6197,0.61311,0.62305,0.64083,0.27677,1.97098,1.30921,1.71078,0.008317,0.008317,0.008317
87,333.488,1.79924,1.43858,1.60143,0.70145,0.67383,0.72181,0.35071,1.78352,1.12845,1.58249,0.0082972,0.0082972,0.0082972
88,337.287,1.81377,1.47002,1.60764,0.72726,0.71484,0.77054,0.39319,1.54489,1.11588,1.43451,0.0082774,0.0082774,0.0082774
89,341.099,1.79545,1.45904,1.59518,0.71674,0.68555,0.76676,0.39152,1.65843,1.11686,1.50374,0.0082576,0.0082576,0.0082576
90,344.905,1.78345,1.46919,1.5932,0.70067,0.64648,0.70391,0.33241,1.75716,1.16452,1.58283,0.0082378,0.0082378,0.0082378
91,348.689,1.81019,1.45192,1.61557,0.7696,0.67969,0.77283,0.38426,1.70645,1.10655,1.5376,0.008218,0.008218,0.008218
92,352.494,1.7869,1.45117,1.60025,0.64431,0.57422,0.65795,0.29083,1.9021,1.30826,1.62799,0.0081982,0.0081982,0.0081982
93,356.28,1.7998,1.47806,1.60493,0.64047,0.63477,0.66915,0.31766,1.69903,1.23585,1.51972,0.0081784,0.0081784,0.0081784
94,360.065,1.78063,1.41856,1.59865,0.68759,0.67188,0.73113,0.35361,1.79217,1.12423,1.53203,0.0081586,0.0081586,0.0081586
95,363.85,1.76043,1.40174,1.59037,0.72211,0.61328,0.69323,0.305,1.89428,1.20204,1.63548,0.0081388,0.0081388,0.0081388
96,367.623,1.74831,1.39916,1.58542,0.69968,0.6689,0.74352,0.38334,1.64299,1.10631,1.54196,0.008119,0.008119,0.008119
97,371.392,1.75704,1.41806,1.59027,0.7344,0.68585,0.77045,0.411,1.50679,1.04364,1.44462,0.0080992,0.0080992,0.0080992
98,375.2,1.77228,1.42631,1.6096,0.76989,0.69727,0.79272,0.41564,1.53763,1.03407,1.47509,0.0080794,0.0080794,0.0080794
99,378.991,1.74306,1.35815,1.57217,0.78337,0.72042,0.80062,0.39243,1.60299,1.06072,1.48251,0.0080596,0.0080596,0.0080596
100,382.801,1.73846,1.401,1.57861,0.73305,0.64359,0.73806,0.35688,1.63248,1.12756,1.49539,0.0080398,0.0080398,0.0080398
101,386.59,1.70599,1.35777,1.55533,0.75206,0.65625,0.75692,0.38324,1.56681,1.06952,1.45755,0.00802,0.00802,0.00802
102,390.394,1.75684,1.40717,1.59177,0.75373,0.68555,0.74968,0.36738,1.61757,1.13271,1.48278,0.0080002,0.0080002,0.0080002
103,394.17,1.75534,1.38656,1.57938,0.7426,0.68164,0.76148,0.36682,1.62896,1.05144,1.4808,0.0079804,0.0079804,0.0079804
104,397.971,1.72763,1.35039,1.54881,0.78549,0.61523,0.73774,0.37738,1.55726,1.03819,1.44673,0.0079606,0.0079606,0.0079606
105,401.79,1.74666,1.38128,1.5583,0.73927,0.74219,0.80226,0.40868,1.48597,0.97691,1.38635,0.0079408,0.0079408,0.0079408
106,405.582,1.69514,1.35277,1.54626,0.78006,0.70508,0.79927,0.42401,1.54773,1.01483,1.44064,0.007921,0.007921,0.007921
107,409.366,1.71868,1.33979,1.55503,0.74548,0.72656,0.78584,0.4032,1.56141,0.99527,1.46262,0.0079012,0.0079012,0.0079012
108,413.154,1.6837,1.30988,1.53373,0.7568,0.76367,0.82496,0.46113,1.42515,0.90414,1.38517,0.0078814,0.0078814,0.0078814
109,416.933,1.67972,1.32187,1.52752,0.81171,0.7325,0.82124,0.42809,1.53478,0.95403,1.40207,0.0078616,0.0078616,0.0078616
110,420.734,1.70384,1.30392,1.52943,0.79964,0.70703,0.80049,0.43387,1.60716,1.03541,1.46889,0.0078418,0.0078418,0.0078418
111,424.517,1.69697,1.32803,1.53993,0.84588,0.75035,0.85241,0.46375,1.4218,0.90256,1.3503,0.007822,0.007822,0.007822
112,428.305,1.70106,1.36316,1.55579,0.79104,0.72852,0.81961,0.43305,1.58787,0.98477,1.44709,0.0078022,0.0078022,0.0078022
113,432.074,1.66395,1.30616,1.51867,0.81896,0.75102,0.84444,0.46275,1.43651,0.89343,1.35397,0.0077824,0.0077824,0.0077824
114,435.861,1.65573,1.26745,1.50163,0.80265,0.74671,0.83861,0.46234,1.43624,0.97871,1.37318,0.0077626,0.0077626,0.0077626
115,439.66,1.69393,1.27973,1.53126,0.77386,0.75195,0.81463,0.45932,1.43201,1.00789,1.38454,0.0077428,0.0077428,0.0077428
116,443.466,1.63803,1.24336,1.49273,0.8278,0.80859,0.8711,0.4893,1.48566,0.84658,1.36847,0.007723,0.007723,0.007723
117,447.269,1.64839,1.23645,1.48876,0.78736,0.73767,0.84347,0.46726,1.42909,0.92659,1.40086,0.0077032,0.0077032,0.0077032
